Country,Year,Net migration,"International migrant stock, total",International migrant stock (% of population)
Uganda,1999-01-01,-39697.0,,
Uganda,1998-01-01,6283.0,,
Uganda,1997-01-01,-155544.0,,
Uganda,1996-01-01,-22809.0,,
Uganda,1995-01-01,-242445.0,634620.0,3.10890621632808
Uganda,1994-01-01,-16192.0,,
Uganda,1993-01-01,18352.0,,
Uganda,1992-01-01,24725.0,,
Uganda,1991-01-01,3642.0,,
Uganda,1990-01-01,-21692.0,558307.0,3.21154595832613
Uganda,1989-01-01,-12579.0,,
Uganda,1988-01-01,-20124.0,,
Uganda,1987-01-01,-22431.0,,
Uganda,1986-01-01,-19507.0,,
Uganda,1985-01-01,-42995.0,633291.0,
Uganda,1984-01-01,-8824.0,,
Uganda,1983-01-01,-45835.0,,
Uganda,1982-01-01,-53573.0,,
Uganda,1981-01-01,-83121.0,,
Uganda,1980-01-01,-106037.0,676609.0,
Uganda,1979-01-01,-98976.0,,
Uganda,1978-01-01,-34630.0,,
Uganda,1977-01-01,-37704.0,,
Uganda,1976-01-01,-42295.0,,
Uganda,1975-01-01,-47415.0,774582.0,
Uganda,1974-01-01,-51953.0,,
Uganda,1973-01-01,-73514.0,,
Uganda,1972-01-01,-86479.0,,
Uganda,1971-01-01,-42660.0,,
Uganda,1970-01-01,-25655.0,948875.0,
Uganda,1969-01-01,-14550.0,,
Uganda,1968-01-01,-3210.0,,
Uganda,1967-01-01,-3764.0,,
Uganda,1966-01-01,-3021.0,,
Uganda,1965-01-01,-3718.0,907723.0,
Uganda,1964-01-01,-3172.0,,
Uganda,1963-01-01,-3057.0,,
Uganda,1962-01-01,-6470.0,,
Uganda,1961-01-01,-7893.0,,
Uganda,1960-01-01,-7586.0,771730.0,
